Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:  81%|████████  | 235/290 [00:00<00:00, 2343.05it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 2472.02it/s]
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 128, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 39.588, 'seconds_per_generation': 13.196, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 192, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 49.308, 'seconds_per_generation': 16.436, 'final_answer_rate': 0.6667, 'short_answer_rate': 0.6667, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 50.983, 'seconds_per_generation': 16.994, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.3333}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 128, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 33.712, 'seconds_per_generation': 11.237, 'final_answer_rate': 0.3333, 'short_answer_rate': 0.3333, 'truncated_rate': 0.6667, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 192, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 43.055, 'seconds_per_generation': 14.352, 'final_answer_rate': 0.3333, 'short_answer_rate': 0.3333, 'truncated_rate': 0.6667, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 256, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 52.022, 'seconds_per_generation': 17.341, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.3333, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 128, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 40.372, 'seconds_per_generation': 13.457, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 192, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 53.686, 'seconds_per_generation': 17.895, 'final_answer_rate': 0.3333, 'short_answer_rate': 0.3333, 'truncated_rate': 0.6667, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 256, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 57.52, 'seconds_per_generation': 19.173, 'final_answer_rate': 0.6667, 'short_answer_rate': 0.6667, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'few_shot', 'dataset': 'gsm8k', 'max_new_tokens': 128, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 71.447, 'seconds_per_generation': 23.816, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'few_shot', 'dataset': 'gsm8k', 'max_new_tokens': 192, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 84.242, 'seconds_per_generation': 28.081, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 0.3333, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'few_shot', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 3, 'generations': 3, 'num_paths': 1, 'seconds_total': 85.336, 'seconds_per_generation': 28.445, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
